facility_id,archetype,archetype_label,asset_criticality,public_accessibility,perimeter_vulnerability,threat_exposure,existing_countermeasures,site_complexity,response_readiness,risk_score,cameras,access_control,guards,lighting,fencing,incident_likelihood
F055,cultural_heritage_site,Cultural / Heritage Site,3.97,4.33,3.99,2.83,3.27,2.15,2.3,58.56,True,True,True,True,False,46.38
F056,cultural_heritage_site,Cultural / Heritage Site,4.08,4.09,3.77,3.73,1.92,2.95,3.14,70.56,False,False,True,True,False,57.45
F057,cultural_heritage_site,Cultural / Heritage Site,4.09,4.01,2.86,3.48,2.35,2.89,2.74,63.16,True,True,False,False,True,50.67
F058,cultural_heritage_site,Cultural / Heritage Site,4.58,4.04,3.13,3.31,2.64,3.83,2.69,66.94,False,True,True,True,True,36.25
F059,cultural_heritage_site,Cultural / Heritage Site,4.7,4.98,3.19,1.7,2.67,4.06,3.88,67.16,True,False,False,True,False,37.12
F060,cultural_heritage_site,Cultural / Heritage Site,5.0,5.0,4.48,2.36,3.2,3.88,3.07,71.94,True,True,True,True,True,37.38
F061,cultural_heritage_site,Cultural / Heritage Site,4.24,4.28,3.03,4.18,3.81,4.32,2.95,64.72,True,True,True,False,True,45.59
F062,cultural_heritage_site,Cultural / Heritage Site,3.55,4.48,3.75,4.26,3.23,3.51,2.95,65.9,False,False,False,True,True,42.04
F063,cultural_heritage_site,Cultural / Heritage Site,4.46,4.66,2.73,2.91,3.3,4.14,3.42,64.05,True,False,False,True,False,51.52
F064,cultural_heritage_site,Cultural / Heritage Site,4.75,4.45,3.05,2.78,2.75,3.38,2.45,65.06,False,False,True,False,True,47.32
F065,cultural_heritage_site,Cultural / Heritage Site,4.34,4.04,3.51,4.01,1.79,2.23,1.68,68.77,False,False,False,False,False,60.8
F066,cultural_heritage_site,Cultural / Heritage Site,4.98,4.05,3.57,2.47,1.97,3.3,3.66,70.71,False,True,False,True,False,50.15
F067,cultural_heritage_site,Cultural / Heritage Site,4.27,4.65,5.0,3.6,2.1,4.08,2.58,78.96,False,True,False,True,True,64.07
F068,cultural_heritage_site,Cultural / Heritage Site,4.41,3.73,4.2,2.31,1.59,3.46,2.85,69.71,False,False,False,False,False,49.73
F069,cultural_heritage_site,Cultural / Heritage Site,4.34,4.1,4.23,3.04,1.28,2.32,2.79,72.22,False,False,False,False,False,50.62
F070,cultural_heritage_site,Cultural / Heritage Site,3.61,4.06,3.97,3.87,2.3,2.0,1.78,63.4,False,False,True,True,True,57.5
F071,cultural_heritage_site,Cultural / Heritage Site,3.86,4.16,4.09,1.93,2.87,3.56,2.71,60.41,True,False,True,False,True,39.38
F072,cultural_heritage_site,Cultural / Heritage Site,3.66,4.2,4.04,3.39,2.16,4.09,3.49,70.7,False,False,False,True,True,52.87
F073,cultural_heritage_site,Cultural / Heritage Site,3.77,4.55,3.46,2.88,3.92,3.4,3.05,57.4,True,True,True,False,True,46.77
F074,cultural_heritage_site,Cultural / Heritage Site,4.35,4.74,3.11,2.94,3.26,4.02,2.93,64.62,True,False,False,True,False,46.45
F075,cultural_heritage_site,Cultural / Heritage Site,2.73,4.65,1.61,1.79,2.92,3.79,2.1,46.34,True,True,False,False,False,30.69
F076,commercial_retail_complex,Commercial Retail Complex,3.77,4.84,3.5,3.13,3.38,2.18,2.15,58.1,True,True,True,True,False,41.21
F077,commercial_retail_complex,Commercial Retail Complex,3.17,4.5,3.48,3.86,3.15,2.15,2.57,58.09,False,True,True,False,False,46.87
F078,commercial_retail_complex,Commercial Retail Complex,1.96,4.9,3.85,2.91,3.92,3.89,3.38,52.88,False,True,False,False,True,34.46
F079,commercial_retail_complex,Commercial Retail Complex,3.29,4.78,3.64,2.95,3.78,3.0,2.5,55.81,False,False,False,True,True,45.0
F080,commercial_retail_complex,Commercial Retail Complex,2.5,4.3,3.48,2.59,3.43,2.84,2.1,48.96,True,False,False,True,False,18.97
F081,commercial_retail_complex,Commercial Retail Complex,2.58,4.15,4.02,3.2,4.03,3.71,2.42,52.69,False,True,True,False,False,30.32
F082,commercial_retail_complex,Commercial Retail Complex,3.28,5.0,3.52,3.78,3.82,3.06,1.84,58.38,True,False,False,False,False,32.32
F083,commercial_retail_complex,Commercial Retail Complex,2.68,4.83,5.0,2.37,4.28,3.09,2.55,53.66,True,True,True,True,False,39.16
F084,commercial_retail_complex,Commercial Retail Complex,2.41,4.78,3.46,3.47,4.27,2.95,2.18,49.71,True,True,False,True,True,38.86
F085,commercial_retail_complex,Commercial Retail Complex,4.49,4.62,4.72,3.35,3.31,3.26,2.34,69.56,False,False,True,False,True,47.37
F086,commercial_retail_complex,Commercial Retail Complex,2.44,4.8,4.4,3.31,3.01,3.74,3.25,62.48,False,False,False,True,True,48.62
F087,commercial_retail_complex,Commercial Retail Complex,3.11,4.47,4.35,2.39,2.92,3.78,2.8,60.94,False,False,False,False,True,41.41
F088,commercial_retail_complex,Commercial Retail Complex,3.48,4.69,4.18,2.61,3.67,3.0,1.85,56.91,False,True,False,False,True,35.26
F089,commercial_retail_complex,Commercial Retail Complex,1.54,4.53,3.87,2.79,4.23,2.9,3.07,44.6,True,False,False,False,True,12.61
F090,commercial_retail_complex,Commercial Retail Complex,1.6,4.64,4.01,3.61,3.68,2.77,2.91,51.14,False,True,False,True,False,39.04
F091,commercial_retail_complex,Commercial Retail Complex,2.87,4.8,4.74,1.73,2.55,2.29,2.08,57.19,True,False,False,False,False,47.12
F092,commercial_retail_complex,Commercial Retail Complex,2.55,4.69,3.43,2.06,3.33,2.4,2.25,48.09,False,False,False,True,False,21.8
F093,commercial_retail_complex,Commercial Retail Complex,3.31,4.56,4.32,3.19,2.57,2.81,2.52,64.14,True,False,False,True,False,51.99
F094,commercial_retail_complex,Commercial Retail Complex,3.96,5.0,3.39,2.64,4.29,2.37,1.51,52.52,True,True,True,False,True,27.58
F095,commercial_retail_complex,Commercial Retail Complex,2.27,5.0,4.15,3.73,3.11,2.89,1.87,58.66,True,True,True,False,True,51.22
F096,commercial_retail_complex,Commercial Retail Complex,2.77,5.0,4.21,3.67,2.86,3.31,2.74,64.55,False,False,False,True,False,41.37
F097,commercial_retail_complex,Commercial Retail Complex,2.85,4.9,3.6,3.22,3.74,3.37,3.23,56.96,False,False,True,True,True,38.32
F098,commercial_retail_complex,Commercial Retail Complex,2.55,4.26,3.91,2.26,3.98,3.91,1.82,49.01,False,True,True,True,True,39.98
F099,commercial_retail_complex,Commercial Retail Complex,2.51,5.0,4.05,3.68,3.13,2.97,2.23,59.85,False,False,False,False,True,52.56
F100,commercial_retail_complex,Commercial Retail Complex,2.58,4.91,3.69,3.21,3.04,3.97,2.52,60.06,True,False,False,True,False,43.19
F101,commercial_retail_complex,Commercial Retail Complex,2.95,4.4,3.99,4.4,3.89,3.1,2.04,58.56,False,True,False,False,False,36.8
F102,commercial_retail_complex,Commercial Retail Complex,2.11,4.51,4.03,1.95,3.77,3.45,2.15,47.35,False,False,False,True,True,21.06
F103,commercial_retail_complex,Commercial Retail Complex,3.28,4.6,4.2,3.54,4.5,2.88,2.53,55.54,True,False,True,True,True,24.83
F104,commercial_retail_complex,Commercial Retail Complex,2.94,5.0,4.15,2.25,3.33,3.45,1.17,55.89,True,False,False,False,False,38.7
F105,commercial_retail_complex,Commercial Retail Complex,3.19,5.0,3.89,2.72,3.66,3.26,1.98,56.81,False,False,True,False,True,36.28
F106,commercial_retail_complex,Commercial Retail Complex,2.65,4.97,3.35,3.41,4.55,3.28,2.07,50.28,False,True,True,True,True,19.7
F107,commercial_retail_complex,Commercial Retail Complex,3.32,4.69,4.19,2.52,4.2,3.75,2.88,56.33,False,False,False,False,True,36.87
F108,commercial_retail_complex,Commercial Retail Complex,3.13,4.85,4.15,4.08,4.14,1.28,2.11,54.84,True,True,True,True,True,38.14
F109,commercial_retail_complex,Commercial Retail Complex,2.25,4.6,4.74,2.87,3.68,1.88,3.42,52.61,True,True,False,False,True,32.26
F110,commercial_retail_complex,Commercial Retail Complex,2.68,4.65,3.71,3.62,3.55,3.39,2.29,56.91,True,False,False,False,False,47.83
F111,commercial_retail_complex,Commercial Retail Complex,2.29,5.0,4.5,3.78,3.42,2.87,2.17,59.04,True,True,False,False,True,47.72
F112,commercial_retail_complex,Commercial Retail Complex,3.19,5.0,3.86,2.64,2.88,2.02,2.44,57.77,False,False,False,True,False,35.69
F113,commercial_retail_complex,Commercial Retail Complex,3.02,4.38,4.72,3.11,3.57,4.4,3.21,63.05,False,True,True,False,False,40.3
F114,commercial_retail_complex,Commercial Retail Complex,3.68,4.77,5.0,3.25,4.47,3.21,2.88,61.5,False,True,True,False,True,30.65
F115,commercial_retail_complex,Commercial Retail Complex,1.98,4.37,3.12,3.27,4.08,2.99,1.0,43.57,False,True,True,False,True,37.26
F116,commercial_retail_complex,Commercial Retail Complex,3.07,4.97,4.06,3.4,3.87,2.51,2.83,57.42,True,True,True,True,True,34.36
F117,commercial_retail_complex,Commercial Retail Complex,2.16,4.69,3.45,3.39,2.71,3.43,1.59,56.05,False,True,False,True,False,44.93
F118,commercial_retail_complex,Commercial Retail Complex,1.54,4.79,5.0,3.28,3.44,3.33,2.84,56.39,True,True,False,False,True,36.93
F119,commercial_retail_complex,Commercial Retail Complex,1.64,4.42,2.63,3.06,3.29,2.75,2.95,45.23,True,True,False,True,True,32.58
F120,commercial_retail_complex,Commercial Retail Complex,3.39,4.45,5.0,2.62,3.85,1.99,1.74,55.11,False,False,True,True,True,43.12
F121,commercial_retail_complex,Commercial Retail Complex,2.66,4.27,3.6,3.53,3.64,2.06,1.87,50.34,False,True,False,False,True,38.89
F122,commercial_retail_complex,Commercial Retail Complex,3.29,4.76,3.8,3.28,2.91,2.31,1.74,59.25,True,False,True,True,True,43.15
F123,commercial_retail_complex,Commercial Retail Complex,2.67,4.9,3.99,2.33,2.64,3.02,2.92,58.43,False,True,True,False,False,35.34
F124,commercial_retail_complex,Commercial Retail Complex,2.73,4.31,2.83,3.77,2.81,2.73,1.47,54.17,False,False,False,False,True,43.55
F125,commercial_retail_complex,Commercial Retail Complex,2.94,5.0,3.47,3.17,4.08,3.76,1.45,54.16,True,True,True,False,False,32.19
F126,commercial_retail_complex,Commercial Retail Complex,2.97,4.72,3.98,3.25,2.99,3.32,4.05,63.08,False,False,True,True,False,49.9
F127,commercial_retail_complex,Commercial Retail Complex,3.51,4.86,4.57,1.79,4.35,3.23,2.95,54.64,True,True,False,True,False,38.74
F128,commercial_retail_complex,Commercial Retail Complex,1.74,5.0,4.0,3.08,2.52,3.3,1.0,55.9,True,True,False,False,False,40.2
F129,commercial_retail_complex,Commercial Retail Complex,2.38,4.65,4.64,3.52,3.17,2.86,1.36,57.94,False,False,False,False,False,35.18
F130,commercial_retail_complex,Commercial Retail Complex,2.74,5.0,4.6,2.78,3.53,3.0,2.47,58.06,False,True,False,False,True,37.02
F131,commercial_retail_complex,Commercial Retail Complex,1.83,5.0,4.18,2.76,3.23,2.1,1.68,50.12,False,False,True,True,False,35.03
F132,commercial_retail_complex,Commercial Retail Complex,2.72,5.0,3.73,2.26,2.57,2.68,1.55,55.6,False,False,False,True,True,30.62
F133,commercial_retail_complex,Commercial Retail Complex,2.5,4.84,2.84,3.34,4.54,2.73,2.46,46.03,True,False,False,True,True,26.34
F134,commercial_retail_complex,Commercial Retail Complex,2.19,4.84,3.71,2.88,3.76,2.2,2.93,49.18,True,True,False,True,True,25.84
F135,commercial_retail_complex,Commercial Retail Complex,2.48,4.82,4.02,3.15,3.38,2.87,1.43,54.43,True,True,False,True,False,37.95
F136,commercial_retail_complex,Commercial Retail Complex,2.57,5.0,4.25,2.41,3.8,2.54,1.95,51.36,False,True,True,False,False,28.0
F137,commercial_retail_complex,Commercial Retail Complex,2.46,5.0,4.31,4.23,4.76,2.38,2.34,53.15,True,True,False,True,True,30.76
F138,commercial_retail_complex,Commercial Retail Complex,2.07,5.0,3.54,4.89,3.13,3.04,1.52,59.56,True,False,False,True,False,40.89
F139,commercial_retail_complex,Commercial Retail Complex,3.68,5.0,4.05,1.74,2.81,3.41,3.03,62.12,False,False,True,True,True,39.52
F140,commercial_retail_complex,Commercial Retail Complex,2.96,4.71,3.07,3.0,3.2,2.91,1.96,53.95,True,False,True,False,True,37.7
F141,commercial_retail_complex,Commercial Retail Complex,1.65,4.94,4.0,3.22,3.98,1.83,1.12,44.93,True,True,True,True,False,33.9
F142,commercial_retail_complex,Commercial Retail Complex,3.09,4.72,2.95,3.66,4.13,3.39,1.77,52.98,True,True,False,False,False,38.68
F143,commercial_retail_complex,Commercial Retail Complex,2.83,4.46,4.21,3.55,3.45,3.13,2.14,58.22,False,True,True,True,True,31.85
F144,commercial_retail_complex,Commercial Retail Complex,2.01,4.19,4.02,2.53,3.17,3.4,1.92,50.38,False,True,True,True,False,32.16
F145,commercial_retail_complex,Commercial Retail Complex,3.43,4.92,3.3,3.59,2.75,3.85,2.91,65.95,False,True,True,False,False,51.1
F146,commercial_retail_complex,Commercial Retail Complex,3.32,4.63,3.69,2.48,2.76,1.9,2.74,56.48,False,False,True,True,True,35.72
F147,commercial_retail_complex,Commercial Retail Complex,2.86,4.2,4.13,2.56,3.52,2.06,2.63,50.97,True,True,False,True,True,29.25
F148,commercial_retail_complex,Commercial Retail Complex,1.87,4.94,3.78,2.55,3.07,3.64,2.66,53.69,True,False,False,True,False,33.07
F149,commercial_retail_complex,Commercial Retail Complex,3.06,4.57,4.25,3.53,1.65,3.71,1.0,68.89,False,False,False,False,True,62.59
F150,commercial_retail_complex,Commercial Retail Complex,1.65,5.0,3.97,2.48,3.05,2.39,2.82,50.44,True,True,False,False,False,25.26
F151,mixed_use_tower,Mixed-Use Tower,4.56,2.98,1.9,2.59,3.12,3.56,3.26,53.19,False,False,True,True,False,30.07
F152,mixed_use_tower,Mixed-Use Tower,3.08,4.2,2.63,3.15,2.53,3.87,3.33,59.01,False,False,False,False,True,44.77
F153,mixed_use_tower,Mixed-Use Tower,3.22,2.84,2.46,2.56,3.89,4.32,3.15,45.86,True,True,False,True,True,38.23
F154,mixed_use_tower,Mixed-Use Tower,2.8,3.46,1.46,3.13,4.55,4.44,3.3,41.66,False,True,True,True,True,24.86
F155,mixed_use_tower,Mixed-Use Tower,3.14,2.52,1.78,3.23,3.93,4.32,3.78,44.81,False,True,False,True,False,41.73
F156,mixed_use_tower,Mixed-Use Tower,3.33,2.6,2.86,3.15,2.76,4.76,3.14,55.96,True,False,False,True,False,44.67
F157,mixed_use_tower,Mixed-Use Tower,3.59,3.95,2.7,2.98,3.2,4.49,3.49,58.65,True,False,True,True,False,31.63
F158,mixed_use_tower,Mixed-Use Tower,3.94,1.44,2.72,2.71,4.38,3.95,3.6,42.94,True,True,True,True,True,18.81
F159,mixed_use_tower,Mixed-Use Tower,3.78,3.55,3.0,4.15,3.14,3.51,2.6,60.35,False,True,False,True,True,38.36
F160,mixed_use_tower,Mixed-Use Tower,4.3,4.71,2.82,3.35,3.3,3.29,2.84,62.58,False,False,True,True,False,42.19
F161,mixed_use_tower,Mixed-Use Tower,3.5,3.58,2.58,3.32,3.48,4.03,2.36,53.68,True,True,True,True,True,36.61
F162,mixed_use_tower,Mixed-Use Tower,3.63,1.71,2.05,3.24,3.83,3.62,3.3,43.43,False,False,False,True,True,30.66
F163,mixed_use_tower,Mixed-Use Tower,3.72,3.38,2.68,3.49,3.66,4.59,3.72,57.24,False,True,False,False,True,34.77
F164,mixed_use_tower,Mixed-Use Tower,4.06,2.83,2.29,3.84,2.97,3.8,3.33,57.71,True,True,False,True,True,42.09
F165,mixed_use_tower,Mixed-Use Tower,3.64,3.06,2.73,3.46,3.93,4.22,2.71,52.18,True,True,True,True,True,36.71
F166,mixed_use_tower,Mixed-Use Tower,4.24,3.06,4.0,2.77,3.79,3.8,2.99,57.35,True,True,False,True,True,35.05
F167,mixed_use_tower,Mixed-Use Tower,5.0,3.24,2.17,2.58,3.03,4.67,2.98,60.21,False,True,False,True,False,42.15
F168,mixed_use_tower,Mixed-Use Tower,3.96,3.2,2.11,3.41,3.15,3.94,2.63,54.89,False,False,False,True,False,46.8
F169,mixed_use_tower,Mixed-Use Tower,5.0,1.97,2.16,2.63,3.09,3.66,3.02,52.83,True,False,True,False,True,39.1
F170,mixed_use_tower,Mixed-Use Tower,3.38,4.27,2.74,1.88,3.0,3.33,3.21,52.58,True,True,False,True,True,27.35
F171,mixed_use_tower,Mixed-Use Tower,3.0,3.02,2.7,1.89,3.49,4.21,3.07,45.45,True,False,False,True,False,33.56
F172,mixed_use_tower,Mixed-Use Tower,3.42,2.73,2.86,3.37,3.34,4.6,3.79,55.24,True,True,False,True,False,38.07
F173,mixed_use_tower,Mixed-Use Tower,3.21,2.11,2.66,2.54,3.65,3.8,2.54,42.89,True,False,True,False,False,29.43
F174,mixed_use_tower,Mixed-Use Tower,2.95,2.23,3.55,2.45,2.97,4.18,3.15,50.15,True,True,False,False,False,38.91
F175,mixed_use_tower,Mixed-Use Tower,3.9,2.63,1.65,2.55,3.57,4.78,2.58,47.44,False,True,False,True,True,32.03
F176,mixed_use_tower,Mixed-Use Tower,3.75,3.65,2.93,1.57,3.13,4.27,3.08,53.19,True,True,True,False,False,29.43
F177,mixed_use_tower,Mixed-Use Tower,3.85,2.35,2.98,3.55,3.68,2.67,2.43,48.86,True,False,False,True,True,39.7
F178,mixed_use_tower,Mixed-Use Tower,3.77,3.28,2.82,3.42,4.97,4.69,2.25,49.24,True,True,False,True,True,33.14
F179,mixed_use_tower,Mixed-Use Tower,5.0,2.55,2.3,2.82,3.31,3.75,1.54,53.51,True,True,False,True,False,43.66
F180,mixed_use_tower,Mixed-Use Tower,3.76,3.5,2.77,3.82,3.63,4.45,3.42,58.89,True,True,True,True,True,48.71
F181,mixed_use_tower,Mixed-Use Tower,4.28,3.01,1.17,3.31,2.27,4.93,3.3,59.59,False,False,False,True,True,42.99
F182,mixed_use_tower,Mixed-Use Tower,3.65,4.66,3.1,3.63,4.11,4.94,3.09,61.62,True,True,False,False,True,36.32
F183,mixed_use_tower,Mixed-Use Tower,4.5,3.45,2.99,3.37,3.58,4.3,2.49,60.25,True,False,True,True,False,50.69
F184,mixed_use_tower,Mixed-Use Tower,3.0,2.79,2.89,4.52,4.49,4.76,2.97,51.41,True,False,True,True,False,41.72
F185,mixed_use_tower,Mixed-Use Tower,3.39,1.54,2.9,2.58,3.63,4.16,3.04,44.33,False,False,True,False,False,18.05
F186,mixed_use_tower,Mixed-Use Tower,4.0,3.67,2.57,1.82,4.02,3.37,3.39,47.79,True,True,True,True,True,31.35
F187,mixed_use_tower,Mixed-Use Tower,3.33,3.59,2.77,2.58,3.08,3.38,3.37,52.44,False,False,False,True,False,24.85
F188,mixed_use_tower,Mixed-Use Tower,2.74,3.67,3.41,2.55,3.22,4.51,1.8,52.24,False,False,False,True,True,41.24
F189,mixed_use_tower,Mixed-Use Tower,4.86,2.65,2.59,4.09,2.69,4.71,2.59,65.85,True,False,False,True,False,46.0
F190,mixed_use_tower,Mixed-Use Tower,3.77,3.6,2.52,3.04,3.94,3.71,3.64,52.33,False,True,True,False,False,38.37
F191,mixed_use_tower,Mixed-Use Tower,3.28,2.76,2.92,2.5,3.35,4.24,3.8,50.68,True,True,True,True,False,31.89
F192,mixed_use_tower,Mixed-Use Tower,2.89,2.58,2.14,2.74,4.39,4.53,3.21,40.81,False,True,False,False,False,23.46
F193,mixed_use_tower,Mixed-Use Tower,2.38,3.13,3.06,2.83,4.69,3.76,3.33,40.84,True,True,True,True,True,30.66
F194,mixed_use_tower,Mixed-Use Tower,3.6,3.49,2.18,3.46,3.14,4.75,4.53,59.08,False,False,True,False,True,44.03
F195,mixed_use_tower,Mixed-Use Tower,4.21,3.29,3.33,3.55,4.51,4.38,3.74,57.26,True,True,True,True,False,36.16
F196,mixed_use_tower,Mixed-Use Tower,3.25,3.01,3.46,3.33,2.57,4.09,4.27,60.71,True,False,True,False,True,49.72
